itemid,name,price,stack_price,sold_per_day,stack_sold_per_day,category,stackable,server
86,San d'Orian Tree,15000,0,0.01,0,Furnishings,No,Asura
87,Kadomatsu,5000,0,0.01,0,Furnishings,No,Asura
89,Wastebasket,0,0,0,0,Unknown,No,Asura
88,Timepiece,0,0,0,0,Unknown,No,Asura
91,Blue Pitcher,2500,0,0.05,0,Furnishings,No,Asura
90,Rusty Bucket,2000,0,0.47,0,Furnishings,No,Asura
92,Tarutaru Stool,5000,0,0.06,0,Furnishings,No,Asura
93,Water Cask,1000,0,0.03,0,Furnishings,No,Asura
95,Water Barrel,80000,0,0.17,0,Furnishings,No,Asura
97,Book Holder,10000,0,0.09,0,Furnishings,No,Asura
96,Beverage Barrel,10000,0,0.07,0,Furnishings,No,Asura
98,Scimitar Cactus,10000,0,0.06,0,Furnishings,No,Asura
99,Elshimo Palm,10000,0,0.11,0,Furnishings,No,Asura
100,Okadomatsu,1000,0,0.0,0,Unknown,No,Asura
